exchange,date,symbol,isin,open,high,low,close,volume,series,last,prevclose,tottrdval,timestamp,totaltrades,sc_group,no_trades,net_turnov,tdcloindi
bse,2018-07-30,PARAGMILK,539889,299,302,296.15,300.65,136701,EQ,300.65,296,NA,NA,NA,A,1223,40975572,NA
bse,2018-07-30,KOCL,539910,0.77,0.77,0.77,0.77,1000,EQ,0.77,0.77,NA,NA,NA,X,1,770,NA
bse,2018-07-30,NAGARFERT,539917,13.7,14.15,13.61,13.98,118787,EQ,13.98,13.52,NA,NA,NA,B,312,1659640,NA
bse,2018-07-30,YASHCHEM,539939,79.1,80.9,78.1,78.8,28125,EQ,78.8,81.45,NA,NA,NA,M,15,2234156,NA
bse,2018-07-30,MAXVIL,539940,63,64.65,62.8,63.75,28473,EQ,64,62.05,NA,NA,NA,B,234,1820870,NA
bse,2018-07-30,RXXX1SR2G,539944,10.91,10.91,10.91,10.91,400,EQ,10.91,10.9,NA,NA,NA,F,1,4364,NA
bse,2018-07-30,NV20IWIN,539945,52,52.77,52,52.77,7,EQ,52.77,52.01,NA,NA,NA,B,3,366,NA
bse,2018-07-30,TAALENT,539956,236,240,219.05,240,2207,EQ,240,230,NA,NA,NA,XT,29,525603,NA
bse,2018-07-30,MGL,539957,891,903.65,886.5,899.8,21717,EQ,899.8,890,NA,NA,NA,A,897,19496613,NA
bse,2018-07-30,QFSL,539962,0.28,0.28,0.28,0.28,1980,EQ,0.28,0.28,NA,NA,NA,XT,3,554,NA
bse,2018-07-30,ZEAL,539963,430,430.05,423,424,15500,EQ,424,430,NA,NA,NA,M,20,6567250,NA
bse,2018-07-30,QUESS,539978,1080,1080,1018,1025.7,5347,EQ,1025.7,1069.05,NA,NA,NA,B,574,5521083,NA
bse,2018-07-30,DIGJAMLTD,539979,6.8,6.84,6.5,6.53,22984,EQ,6.59,6.62,NA,NA,NA,B,81,151317,NA
bse,2018-07-30,MIDCAPIWIN,539980,68.21,68.21,67.66,67.66,15,EQ,67.66,68.21,NA,NA,NA,B,3,1018,NA
bse,2018-07-30,MAXINDIA,539981,83.4,83.4,78.75,82.35,57830,EQ,82.35,80.95,NA,NA,NA,A,2354,4667952,NA
bse,2018-07-30,HUIL,539984,950,950,950,950,103,EQ,950,905,NA,NA,NA,X,5,97850,NA
bse,2018-07-30,CFEL,539991,29.27,29.27,29.27,29.27,1,EQ,29.27,27.88,NA,NA,NA,XT,1,29,NA
